model_name,seed,epoch,loss
BBO-RVFL,10,1,0.8544842340574528
BBO-RVFL,10,2,0.8544842340574528
BBO-RVFL,10,3,0.8544842340574528
BBO-RVFL,10,4,0.8563148148308617
BBO-RVFL,10,5,0.8563148148308617
BBO-RVFL,10,6,0.8563148148308617
BBO-RVFL,10,7,0.8570869265464228
BBO-RVFL,10,8,0.8577588038397698
BBO-RVFL,10,9,0.8591051239639917
BBO-RVFL,10,10,0.8591051239639917
BBO-RVFL,10,11,0.8591051239639917
BBO-RVFL,10,12,0.8597249234425947
BBO-RVFL,10,13,0.8597249234425947
BBO-RVFL,10,14,0.8597249234425947
BBO-RVFL,10,15,0.8597249234425947
BBO-RVFL,10,16,0.8597249234425947
BBO-RVFL,10,17,0.8597249234425947
BBO-RVFL,10,18,0.8597249234425947
BBO-RVFL,10,19,0.8597249234425947
BBO-RVFL,10,20,0.8597249234425947
BBO-RVFL,10,21,0.8597249234425947
BBO-RVFL,10,22,0.8597249234425947
BBO-RVFL,10,23,0.8597249234425947
BBO-RVFL,10,24,0.8597249234425947
BBO-RVFL,10,25,0.8597249234425947
BBO-RVFL,10,26,0.8597249234425947
BBO-RVFL,10,27,0.8597249234425947
BBO-RVFL,10,28,0.8597249234425947
BBO-RVFL,10,29,0.8597249234425947
BBO-RVFL,10,30,0.8597249234425947
BBO-RVFL,10,31,0.8597249234425947
BBO-RVFL,10,32,0.8597249234425947
BBO-RVFL,10,33,0.8597249234425947
BBO-RVFL,10,34,0.8597249234425947
BBO-RVFL,10,35,0.8597249234425947
BBO-RVFL,10,36,0.8597249234425947
BBO-RVFL,10,37,0.8597249234425947
BBO-RVFL,10,38,0.8597249234425947
BBO-RVFL,10,39,0.8597249234425947
BBO-RVFL,10,40,0.8597249234425947
BBO-RVFL,10,41,0.8597249234425947
BBO-RVFL,10,42,0.8597249234425947
BBO-RVFL,10,43,0.8597249234425947
BBO-RVFL,10,44,0.8597249234425947
BBO-RVFL,10,45,0.8597249234425947
BBO-RVFL,10,46,0.8597249234425947
BBO-RVFL,10,47,0.8597249234425947
BBO-RVFL,10,48,0.8597249234425947
BBO-RVFL,10,49,0.8597249234425947
BBO-RVFL,10,50,0.8597249234425947
BBO-RVFL,10,51,0.8597249234425947
BBO-RVFL,10,52,0.8597249234425947
BBO-RVFL,10,53,0.8598675111795376
BBO-RVFL,10,54,0.8598675111795376
BBO-RVFL,10,55,0.8598675111795376
BBO-RVFL,10,56,0.8598675111795376
BBO-RVFL,10,57,0.8598675111795376
BBO-RVFL,10,58,0.8598675111795376
BBO-RVFL,10,59,0.8598675111795376
BBO-RVFL,10,60,0.8598675111795376
BBO-RVFL,10,61,0.8598675111795376
BBO-RVFL,10,62,0.8598675111795376
BBO-RVFL,10,63,0.8598675111795376
BBO-RVFL,10,64,0.8598675111795376
BBO-RVFL,10,65,0.8598675111795376
BBO-RVFL,10,66,0.8598675111795376
BBO-RVFL,10,67,0.8598675111795376
BBO-RVFL,10,68,0.8598675111795376
BBO-RVFL,10,69,0.8598675111795376
BBO-RVFL,10,70,0.8598675111795376
BBO-RVFL,10,71,0.8598675111795376
BBO-RVFL,10,72,0.8598675111795376
BBO-RVFL,10,73,0.8598675111795376
BBO-RVFL,10,74,0.8598675111795376
BBO-RVFL,10,75,0.8598675111795376
BBO-RVFL,10,76,0.8598675111795376
BBO-RVFL,10,77,0.8598675111795376
BBO-RVFL,10,78,0.8598675111795376
BBO-RVFL,10,79,0.8598675111795376
BBO-RVFL,10,80,0.8598675111795376
BBO-RVFL,10,81,0.8598675111795376
BBO-RVFL,10,82,0.8598675111795376
BBO-RVFL,10,83,0.8598675111795376
BBO-RVFL,10,84,0.8598675111795376
BBO-RVFL,10,85,0.8598675111795376
BBO-RVFL,10,86,0.8598675111795376
BBO-RVFL,10,87,0.8598675111795376
BBO-RVFL,10,88,0.8598675111795376
BBO-RVFL,10,89,0.8598675111795376
BBO-RVFL,10,90,0.8598675111795376
BBO-RVFL,10,91,0.8598675111795376
BBO-RVFL,10,92,0.8598675111795376
BBO-RVFL,10,93,0.8598675111795376
BBO-RVFL,10,94,0.8598675111795376
BBO-RVFL,10,95,0.8598675111795376
BBO-RVFL,10,96,0.8598675111795376
BBO-RVFL,10,97,0.8598675111795376
BBO-RVFL,10,98,0.8598675111795376
BBO-RVFL,10,99,0.8598675111795376
BBO-RVFL,10,100,0.8598675111795376
BBO-RVFL,15,1,0.8556706015742659
BBO-RVFL,15,2,0.8572288556820649
BBO-RVFL,15,3,0.8572288556820649
BBO-RVFL,15,4,0.8586617651053562
BBO-RVFL,15,5,0.8587258772323876
BBO-RVFL,15,6,0.8587258772323876
BBO-RVFL,15,7,0.8587258772323876
BBO-RVFL,15,8,0.8587258772323876
BBO-RVFL,15,9,0.8587258772323876
BBO-RVFL,15,10,0.8587258772323876
BBO-RVFL,15,11,0.8587258772323876
BBO-RVFL,15,12,0.8587258772323876
BBO-RVFL,15,13,0.8587258772323876
BBO-RVFL,15,14,0.8587258772323876
BBO-RVFL,15,15,0.8592997296945439
BBO-RVFL,15,16,0.8592997296945439
BBO-RVFL,15,17,0.8592997296945439
BBO-RVFL,15,18,0.8592997296945439
BBO-RVFL,15,19,0.8592997296945439
BBO-RVFL,15,20,0.8592997296945439
BBO-RVFL,15,21,0.8592997296945439
BBO-RVFL,15,22,0.8592997296945439
BBO-RVFL,15,23,0.8592997296945439
BBO-RVFL,15,24,0.8592997296945439
BBO-RVFL,15,25,0.8592997296945439
